TEMP PH ORP EC TDS SAL SG DO SAT TIME
4.376 8.08 110.10 23880.00 12897.00 13.78 1.01 112.49 0.00 0:23:23 D/M/Y:31/12/2095
4.380 8.08 110.20 23880.00 12897.00 13.78 1.01 113.84 0.00 0:23:39 D/M/Y:31/12/2095
4.373 8.08 110.20 23890.00 12905.00 13.79 1.01 113.19 0.00 0:23:55 D/M/Y:31/12/2095
4.368 8.08 110.40 23890.00 12902.00 13.78 1.01 114.17 0.00 0:24:11 D/M/Y:31/12/2095
4.367 8.08 110.30 23900.00 12910.00 13.79 1.01 114.47 0.00 0:24:27 D/M/Y:31/12/2095
4.371 8.08 110.30 23910.00 12916.00 13.80 1.01 113.44 0.00 0:24:43 D/M/Y:31/12/2095
4.366 8.08 110.30 23900.00 12910.00 13.79 1.01 113.75 0.00 0:24:59 D/M/Y:31/12/2095
4.371 8.08 110.50 23890.00 12905.00 13.79 1.01 114.65 0.00 0:25:14 D/M/Y:31/12/2095
4.367 8.08 110.50 23890.00 12905.00 13.79 1.01 113.21 0.00 0:25:30 D/M/Y:31/12/2095
4.364 8.08 110.50 23890.00 12902.00 13.78 1.01 113.82 0.00 0:25:46 D/M/Y:31/12/2095
4.362 8.08 110.50 23900.00 12908.00 13.79 1.01 113.25 0.00 0:26:2 D/M/Y:31/12/2095
4.369 8.09 110.50 23930.00 12923.00 13.81 1.01 113.77 0.00 0:26:18 D/M/Y:31/12/2095
4.373 8.09 110.60 23950.00 12933.00 13.82 1.01 113.64 0.00 0:26:34 D/M/Y:31/12/2095
4.369 8.09 110.40 23930.00 12925.00 13.81 1.01 113.88 0.00 0:26:50 D/M/Y:31/12/2095
4.362 8.08 110.50 23950.00 12935.00 13.82 1.01 113.48 0.00 0:27:6 D/M/Y:31/12/2095
4.357 8.08 110.50 23950.00 12937.00 13.82 1.01 114.08 0.00 0:27:22 D/M/Y:31/12/2095
4.367 8.09 110.70 23960.00 12939.00 13.83 1.01 112.72 0.00 0:27:36 D/M/Y:31/12/2095
4.364 8.09 110.80 23950.00 12937.00 13.82 1.01 113.84 0.00 0:27:52 D/M/Y:31/12/2095
4.373 8.09 110.70 23950.00 12935.00 13.82 1.01 114.16 0.00 0:28:8 D/M/Y:31/12/2095
4.375 8.09 110.80 23990.00 12957.00 13.85 1.01 114.16 0.00 0:28:24 D/M/Y:31/12/2095
4.375 8.09 110.70 24030.00 12976.00 13.87 1.01 112.49 0.00 0:28:40 D/M/Y:31/12/2095
4.376 8.09 110.70 23980.00 12953.00 13.84 1.01 112.41 0.00 0:28:56 D/M/Y:31/12/2095
4.376 8.09 110.80 23990.00 12956.00 13.85 1.01 113.04 0.00 0:29:12 D/M/Y:31/12/2095
4.382 8.09 110.70 24010.00 12967.00 13.86 1.01 113.10 0.00 0:29:29 D/M/Y:31/12/2095
4.387 8.09 110.70 24020.00 12971.00 13.86 1.01 114.38 0.00 0:29:45 D/M/Y:31/12/2095
4.389 8.09 110.60 24030.00 12981.00 13.87 1.01 113.60 0.00 0:30:1 D/M/Y:31/12/2095
4.394 8.09 110.80 24030.00 12979.00 13.87 1.01 112.89 0.00 0:30:15 D/M/Y:31/12/2095
4.380 8.09 110.80 24020.00 12974.00 13.87 1.01 113.38 0.00 0:30:32 D/M/Y:31/12/2095
4.379 8.09 110.70 24070.00 13001.00 13.90 1.01 114.23 0.00 0:30:48 D/M/Y:31/12/2095
4.376 8.09 110.70 24140.00 13036.00 13.94 1.01 113.15 0.00 0:31:4 D/M/Y:31/12/2095
4.381 8.09 110.70 24080.00 13007.00 13.91 1.01 113.53 0.00 0:31:20 D/M/Y:31/12/2095
4.380 8.09 110.80 24080.00 13004.00 13.90 1.01 112.57 0.00 0:31:36 D/M/Y:31/12/2095
4.379 8.09 110.90 24080.00 13008.00 13.91 1.01 112.76 0.00 0:31:52 D/M/Y:31/12/2095
4.373 8.09 110.80 24090.00 13010.00 13.91 1.01 113.17 0.00 0:32:8 D/M/Y:31/12/2095
4.378 8.09 110.90 24090.00 13012.00 13.91 1.01 112.97 0.00 0:32:24 D/M/Y:31/12/2095
4.378 8.08 110.90 24080.00 13007.00 13.91 1.01 112.84 0.00 0:32:40 D/M/Y:31/12/2095
4.380 8.09 110.80 24070.00 13002.00 13.90 1.01 112.98 0.00 0:32:56 D/M/Y:31/12/2095
4.376 8.09 111.00 24070.00 13000.00 13.90 1.01 113.29 0.00 0:33:12 D/M/Y:31/12/2095
4.374 8.09 110.90 24070.00 13000.00 13.90 1.01 113.46 0.00 0:33:26 D/M/Y:31/12/2095
4.373 8.09 110.90 24070.00 12998.00 13.90 1.01 113.91 0.00 0:33:42 D/M/Y:31/12/2095
4.372 8.09 110.80 24070.00 12999.00 13.90 1.01 112.99 0.00 0:33:58 D/M/Y:31/12/2095
4.368 8.09 110.80 24060.00 12995.00 13.89 1.01 113.57 0.00 0:34:14 D/M/Y:31/12/2095
4.369 8.09 110.90 24070.00 12998.00 13.90 1.01 113.13 0.00 0:34:30 D/M/Y:31/12/2095
4.367 8.09 111.00 24070.00 12998.00 13.90 1.01 114.23 0.00 0:34:46 D/M/Y:31/12/2095
4.378 8.09 110.60 23540.00 12714.00 13.57 1.01 113.93 0.00 0:35:5 D/M/Y:31/12/2095
4.389 8.09 110.80 24080.00 13008.00 13.91 1.01 113.97 0.00 0:35:21 D/M/Y:31/12/2095
4.386 8.10 110.60 23890.00 12905.00 13.79 1.01 114.13 0.00 0:35:37 D/M/Y:31/12/2095
4.392 8.09 110.60 24100.00 13019.00 13.92 1.01 111.03 0.00 0:35:53 D/M/Y:31/12/2095
4.395 8.09 110.90 24100.00 13016.00 13.92 1.01 113.56 0.00 0:36:9 D/M/Y:31/12/2095
4.402 8.10 110.70 24110.00 13019.00 13.92 1.01 111.56 0.00 0:36:25 D/M/Y:31/12/2095
4.403 8.09 110.60 24100.00 13019.00 13.92 1.01 112.46 0.00 0:36:41 D/M/Y:31/12/2095
4.402 8.10 110.60 24100.00 13017.00 13.92 1.01 112.86 0.00 0:36:57 D/M/Y:31/12/2095
4.399 8.09 110.70 23700.00 12798.00 13.66 1.01 112.85 0.00 0:37:13 D/M/Y:31/12/2095
4.397 8.10 110.70 23690.00 12795.00 13.66 1.01 113.56 0.00 0:37:29 D/M/Y:31/12/2095
