

TEMP PH ORP EC TDS SAL SG DO SAT TIME
20.152 3.99 248.20 0.00 0.00 0.00 1.00 9.44 104.20 14:52:19 D/M/Y:18/10/2017
20.321 3.98 247.80 0.00 0.00 0.00 1.00 9.39 103.60 14:57:20 D/M/Y:18/10/2017
20.898 3.99 247.50 0.00 0.00 0.00 1.00 9.36 104.80 15:2:20 D/M/Y:18/10/2017
20.930 3.99 247.30 0.00 0.00 0.00 1.00 9.34 104.70 15:7:21 D/M/Y:18/10/2017
20.597 3.99 247.50 0.00 0.00 0.00 1.00 9.09 101.20 15:12:22 D/M/Y:18/10/2017
20.419 3.98 247.30 0.00 0.00 0.00 1.00 9.32 103.40 15:17:22 D/M/Y:18/10/2017
20.739 3.98 246.80 0.00 0.00 0.00 1.00 9.33 104.20 15:22:23 D/M/Y:18/10/2017
20.464 3.98 246.80 0.00 0.00 0.00 1.00 9.23 102.50 15:27:24 D/M/Y:18/10/2017
20.434 3.97 246.60 0.00 0.00 0.00 1.00 9.10 100.90 15:32:25 D/M/Y:18/10/2017
20.808 3.98 246.50 0.00 0.00 0.00 1.00 9.26 103.50 15:37:25 D/M/Y:18/10/2017
20.467 3.98 246.30 0.00 0.00 0.00 1.00 9.20 102.20 15:42:26 D/M/Y:18/10/2017
20.430 3.98 246.10 0.00 0.00 0.00 1.00 9.23 102.50 15:47:27 D/M/Y:18/10/2017
20.407 3.97 245.80 0.00 0.00 0.00 1.00 9.30 103.20 15:52:27 D/M/Y:18/10/2017
20.405 3.97 245.40 0.00 0.00 0.00 1.00 9.19 101.90 15:57:28 D/M/Y:18/10/2017
20.037 3.97 245.00 0.00 0.00 0.00 1.00 9.22 101.50 16:2:29 D/M/Y:18/10/2017
20.696 3.98 244.60 0.00 0.00 0.00 1.00 9.28 103.50 16:7:29 D/M/Y:18/10/2017
20.684 3.98 243.90 0.00 0.00 0.00 1.00 9.18 102.30 16:12:30 D/M/Y:18/10/2017
19.948 3.97 243.00 0.00 0.00 0.00 1.00 9.34 102.60 16:17:31 D/M/Y:18/10/2017
19.597 3.97 242.70 0.00 0.00 0.00 1.00 9.42 102.70 16:22:31 D/M/Y:18/10/2017
19.601 3.97 242.30 0.00 0.00 0.00 1.00 9.30 101.50 16:27:32 D/M/Y:18/10/2017
20.027 3.97 241.70 0.00 0.00 0.00 1.00 9.09 100.10 16:32:33 D/M/Y:18/10/2017
19.781 3.97 241.50 0.00 0.00 0.00 1.00 9.28 101.70 16:37:33 D/M/Y:18/10/2017
20.060 3.98 241.00 0.00 0.00 0.00 1.00 9.36 103.00 16:42:34 D/M/Y:18/10/2017
20.885 3.98 240.60 0.00 0.00 0.00 1.00 9.12 102.00 16:47:35 D/M/Y:18/10/2017
20.424 3.98 239.90 0.00 0.00 0.00 1.00 9.21 102.20 16:52:36 D/M/Y:18/10/2017
19.679 3.97 239.70 0.00 0.00 0.00 1.00 9.14 99.90 16:57:36 D/M/Y:18/10/2017
18.962 3.96 239.50 0.00 0.00 0.00 1.00 9.19 99.00 17:2:37 D/M/Y:18/10/2017
18.954 3.96 239.60 0.00 0.00 0.00 1.00 9.45 101.80 17:7:38 D/M/Y:18/10/2017
19.403 3.97 238.80 0.00 0.00 0.00 1.00 9.50 103.20 17:12:38 D/M/Y:18/10/2017
